Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende,Sprache
BA-BUS-M01-F01,Einführung in die Betriebswirtschaftslehre - Einführung in die Betriebswirtschaftslehre 1,0,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte,Deutsch
BA-BUS-M01-F01,Einführung in die Betriebswirtschaftslehre - Einführung in die Betriebswirtschaftslehre 2,0,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Solveig Reißig-Thust / Prof. Dr. oec. Thomas Gruber,Deutsch
BA-BUS-M01-F01,Einführung in die Betriebswirtschaftslehre - Einführung in die Betriebswirtschaftslehre 3,0,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. rer. Harald Rüggeberg / Prof. Dr. Janina Bogajewskaja,Deutsch
BA-BUS-M01-F01,Einführung in die Betriebswirtschaftslehre - Einführung in die Betriebswirtschaftslehre 4 Blended,0,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christoph Manuel Meyer,Deutsch
BA-BUS-M01-F01,Einführung in die Betriebswirtschaftslehre - Einführung in die Betriebswirtschaftslehre 5 - Kurs für Wiederholende,0,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. rer. Christian Noss / Prof. Dr. Wojciech Stiller,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 1,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Felix Wieduwilt,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 2,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Tobias Bily,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 3,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Andre Eggert,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 4,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Ilias Baltzis,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 5,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Axel Zernack,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 6,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Fabian Schwarz,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 7 Blended,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Herbert Goestl,Deutsch
BA-BUS-M01-F02,Projektmanagement - Projektmanagement 8 Blended,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Fabian Schwarz,Deutsch
BA-BUS-M01-F03,Wissenschaftliches Arbeiten - Wissenschaftliches Arbeiten 1,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Susanne Föhse-Hiltmann,Deutsch
BA-BUS-M01-F03,Wissenschaftliches Arbeiten - Wissenschaftliches Arbeiten 2,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Albrecht Heinrici,Deutsch
BA-BUS-M01-F03,Wissenschaftliches Arbeiten - Wissenschaftliches Arbeiten 3,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Giorgos Christonakis,Deutsch
BA-BUS-M01-F03,Wissenschaftliches Arbeiten - Wissenschaftliches Arbeiten 4,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Leo Witowski,Deutsch
BA-BUS-M01-F03,Wissenschaftliches Arbeiten - Wissenschaftliches Arbeiten 5,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Ilias Baltzis,Deutsch
BA-BUS-M01-F03,Wissenschaftliches Arbeiten - Wissenschaftliches Arbeiten 6,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Axel Zernack,Deutsch
BA-BUS-M01-F03,Wissenschaftliches Arbeiten - Wissenschaftliches Arbeiten 7,2.5,Kombinierte Prüfung,seminaristischer Unterricht,Leo Witowski,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Personal und Organisation 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Manuela E. Nork-Schürger,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Personal und Organisation 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Patrick Lange,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Personal und Organisation 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Rüdiger Hans Erdmann,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Personal und Organisation 4,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Katharina Harsch,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Personal und Organisation 5,5,Kombinierte Prüfung,seminaristischer Unterricht,Heike Wolf,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Human Resources and Organisation 6,5,Kombinierte Prüfung,seminaristischer Unterricht,John C. Davis,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Human Resources and Organisation 7,5,Kombinierte Prüfung,seminaristischer Unterricht,John C. Davis,Deutsch
BA-BUS-M02-F01,Personal und Organisation - Personal und Organisation 8 Blended,5,Kombinierte Prüfung,seminaristischer Unterricht,Dr. Katharina Harsch,Deutsch
BUS-M02-F01,Personal und Organisation - Personal und Organisation 1,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Christine Gockel,Deutsch
BUS-M02-F01,Personal und Organisation - Personal und Organisation 2,5,Kombinierte Prüfung,seminaristischer Unterricht,Patrick Lange,Deutsch
BUS-M02-F01,Personal und Organisation - Personal und Organisation 3,5,Kombinierte Prüfung,seminaristischer Unterricht,Frederik Kupitz,Deutsch
BA-BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 1,5,Klausur,seminaristischer Unterricht,David Müller,Deutsch
BA-BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Martin Uzik,Deutsch
BA-BUS-M03-F01,Investition und Finanzierung - Principles of Corporate Finance 3,5,Klausur,seminaristischer Unterricht,Prof. Dr. Marc Crummenerl,Deutsch
BA-BUS-M03-F01,Investition und Finanzierung - Principles of Corporate Finance 4,5,Klausur,seminaristischer Unterricht,Rodolfo Selem,Deutsch
BA-BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 5 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ursula Walther,Deutsch
BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Axel Hellmann,Deutsch
BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. Thomas Wolke,Deutsch
BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 3,5,Klausur,seminaristischer Unterricht,Dr. Maciej Merkel,Deutsch
BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 4 Abend,5,Klausur,seminaristischer Unterricht,Reinhard Borck,Deutsch
BUS-M03-F01,Investition und Finanzierung - Principles of Corporate Finance 5,5,Klausur,seminaristischer Unterricht,Ayoze Alfageme,Deutsch
BUS-M03-F01,Investition und Finanzierung - Investition und Finanzierung 6 - Kurs für Wiederholende,5,Klausur,seminaristischer Unterricht,Prof. Dr. Ursula Walther,Deutsch
BA-BUS-M04-F01,Marketing - Marketing 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. Tobias Naujoks,Deutsch
BA-BUS-M04-F01,Marketing - Marketing 2,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. Pakize Schuchert-Güler,Deutsch
BA-BUS-M04-F01,Marketing - Marketing 3 (Englisch),5,Klausur,seminaristischer Unterricht,Dr. Stefanie Dänzler,Englisch
BA-BUS-M04-F01,Marketing - Marketing 4 (Englisch),5,Klausur,seminaristischer Unterricht,Dr. Michael Unkel,Englisch
BA-BUS-M04-F01,Marketing - Marketing 5 Blended,5,Klausur,seminaristischer Unterricht,Susanne Föhse-Hiltmann,Deutsch
BUS-M04-F01,Marketing - Marketing 1,5,Klausur,seminaristischer Unterricht,Prof. Dr. rer. Pakize Schuchert-Güler,Deutsch
BUS-M04-F01,Marketing - Marketing 2,5,Klausur,seminaristischer Unterricht,Saskia Kramer,Deutsch
BUS-M04-F01,Marketing - Marketing 3 Blended,5,Klausur,seminaristischer Unterricht,Marvin Vogt,Deutsch
BUS-M04-F01,Marketing - Marketing 4 (Englisch),5,Klausur,seminaristischer Unterricht,Dr. Stefanie Dänzler,Englisch
