"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"1","BA-BUS-M01-F01","Einführung in die Betriebswirtschaftslehre 1","Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte","SoSe26"
"2","BA-BUS-M01-F01","Einführung in die Betriebswirtschaftslehre 2","Prof. Dr. Solveig Reißig-Thust / Prof. Dr. oec. Thomas Gruber","SoSe26"
"3","BA-BUS-M01-F01","Einführung in die Betriebswirtschaftslehre 3","Prof. Dr. rer. Harald Rüggeberg / Prof. Dr. Janina Bogajewskaja","SoSe26"
"4","BA-BUS-M01-F01","Einführung in die Betriebswirtschaftslehre 4 Blended","Prof. Dr. Christoph Manuel Meyer","SoSe26"
"5","BA-BUS-M01-F01","Einführung in die Betriebswirtschaftslehre 5 - Kurs für Wiederholende","Prof. Dr. rer. Christian Noss / Prof. Dr. Wojciech Stiller","SoSe26"
"6","BA-BUS-M01-F02","Projektmanagement 1","Felix Wieduwilt","SoSe26"
"7","BA-BUS-M01-F02","Projektmanagement 2","Tobias Bily","SoSe26"
"8","BA-BUS-M01-F02","Projektmanagement 3","Andre Eggert","SoSe26"
"9","BA-BUS-M01-F02","Projektmanagement 4","Ilias Baltzis","SoSe26"
"10","BA-BUS-M01-F02","Projektmanagement 5","Prof. Dr. Axel Zernack","SoSe26"
"11","BA-BUS-M01-F02","Projektmanagement 6","Fabian Schwarz","SoSe26"
"12","BA-BUS-M01-F02","Projektmanagement 7 Blended","Dr. Herbert Goestl","SoSe26"
"13","BA-BUS-M01-F02","Projektmanagement 8 Blended","Fabian Schwarz","SoSe26"
"14","BA-BUS-M01-F03","Wissenschaftliches Arbeiten 1","Susanne Föhse-Hiltmann","SoSe26"
"15","BA-BUS-M01-F03","Wissenschaftliches Arbeiten 2","Dr. Albrecht Heinrici","SoSe26"
"16","BA-BUS-M01-F03","Wissenschaftliches Arbeiten 3","Dr. Giorgos Christonakis","SoSe26"
"17","BA-BUS-M01-F03","Wissenschaftliches Arbeiten 4","Leo Witowski","SoSe26"
"18","BA-BUS-M01-F03","Wissenschaftliches Arbeiten 5","Ilias Baltzis","SoSe26"
"19","BA-BUS-M01-F03","Wissenschaftliches Arbeiten 6","Prof. Dr. Axel Zernack","SoSe26"
"20","BA-BUS-M01-F03","Wissenschaftliches Arbeiten 7","Leo Witowski","SoSe26"
"21","BA-BUS-M02-F01","Personal und Organisation 1","Dr. Manuela E. Nork-Schürger","SoSe26"
"22","BA-BUS-M02-F01","Personal und Organisation 2","Patrick Lange","SoSe26"
"23","BA-BUS-M02-F01","Personal und Organisation 3","Rüdiger Hans Erdmann","SoSe26"
"24","BA-BUS-M02-F01","Personal und Organisation 4","Dr. Katharina Harsch","SoSe26"
"25","BA-BUS-M02-F01","Personal und Organisation 5","Heike Wolf","SoSe26"
"26","BA-BUS-M02-F01","Human Resources and Organisation 6","John C. Davis","SoSe26"
"27","BA-BUS-M02-F01","Human Resources and Organisation 7","John C. Davis","SoSe26"
"28","BA-BUS-M02-F01","Personal und Organisation 8 Blended","Dr. Katharina Harsch","SoSe26"
"29","BUS-M02-F01","Personal und Organisation 1","Prof. Dr. Christine Gockel","SoSe26"
"30","BUS-M02-F01","Personal und Organisation 2","Patrick Lange","SoSe26"
"31","BUS-M02-F01","Personal und Organisation 3","Frederik Kupitz","SoSe26"
"32","BA-BUS-M03-F01","Investition und Finanzierung 1","David Müller","SoSe26"
"33","BA-BUS-M03-F01","Investition und Finanzierung 2","Prof. Dr. Martin Uzik","SoSe26"
"34","BA-BUS-M03-F01","Principles of Corporate Finance 3","Prof. Dr. Marc Crummenerl","SoSe26"
"35","BA-BUS-M03-F01","Principles of Corporate Finance 4","Rodolfo Selem","SoSe26"
"36","BA-BUS-M03-F01","Investition und Finanzierung 5 - Kurs für Wiederholende","Prof. Dr. Ursula Walther","SoSe26"
"37","BUS-M03-F01","Investition und Finanzierung 1","Prof. Dr. Axel Hellmann","SoSe26"
"38","BUS-M03-F01","Investition und Finanzierung 2","Prof. Dr. Thomas Wolke","SoSe26"
"39","BUS-M03-F01","Investition und Finanzierung 3","Dr. Maciej Merkel","SoSe26"
"40","BUS-M03-F01","Investition und Finanzierung 4 Abend","Reinhard Borck","SoSe26"
"41","BUS-M03-F01","Principles of Corporate Finance 5","Ayoze Alfageme","SoSe26"
"42","BUS-M03-F01","Investition und Finanzierung 6 - Kurs für Wiederholende","Prof. Dr. Ursula Walther","SoSe26"
"43","BA-BUS-M04-F01","Marketing 1","Prof. Dr. Tobias Naujoks","SoSe26"
"44","BA-BUS-M04-F01","Marketing 2","Prof. Dr. rer. Pakize Schuchert-Güler","SoSe26"
"45","BA-BUS-M04-F01","Marketing 3 (Englisch)","Dr. Stefanie Dänzler","SoSe26"
"46","BA-BUS-M04-F01","Marketing 4 (Englisch)","Dr. Michael Unkel","SoSe26"
"47","BA-BUS-M04-F01","Marketing 5 Blended","Susanne Föhse-Hiltmann","SoSe26"
"48","BUS-M04-F01","Marketing 1","Prof. Dr. rer. Pakize Schuchert-Güler","SoSe26"
"49","BUS-M04-F01","Marketing 2","Saskia Kramer","SoSe26"
"50","BUS-M04-F01","Marketing 3 Blended","Marvin Vogt","SoSe26"
"51","BUS-M04-F01","Marketing 4 (Englisch)","Dr. Stefanie Dänzler","SoSe26"
"52","BUS-M04-F01","Marketing 5 (Englisch)","Dr. rer. pol. Philip Meier","SoSe26"
"53","BA-BUS-M05-F01","Externes Rechnungswesen 1","Prof. Dr. Nadja Jehle","SoSe26"
"54","BA-BUS-M05-F01","Externes Rechnungswesen 2","Rifat Idris-Barni","SoSe26"
"55","BA-BUS-M05-F01","Externes Rechnungswesen 3","Olaf-Erwin Jupitz","SoSe26"
"56","BA-BUS-M05-F01","Externes Rechnungswesen 4 Blended","Prof. Dr. Hans Lieck","SoSe26"
"57","BA-BUS-M05-F01","Externes Rechnungswesen 5 Kurs für Wiederholende","Prof. Dr. Hans Lieck","SoSe26"
"58","BUS-M05-F01","Grundlagen des externen Rechnungswesens 1","Olaf-Erwin Jupitz","SoSe26"
"59","BUS-M05-F01","Grundlagen des externen Rechnungswesens 2","Jörg Leu","SoSe26"
"60","BUS-M05-F01","Grundlagen des externen Rechnungswesens 3","Prof. Dr. Nadja Jehle","SoSe26"
"61","BUS-M05-F01","Grundlagen des externen Rechnungswesens 4 - Kurs für Wiederholer","Prof. Dr. Hans Lieck","SoSe26"
"62","BA-BUS-M06-F01","Internes Rechnungswesen 1","Prof. Dr. Frank Witte","SoSe26"
"63","BA-BUS-M06-F01","Internes Rechnungswesen 2","Prof. Dr. Frank Witte","SoSe26"
"64","BA-BUS-M06-F01","Internes Rechnungswesen 3","Heike Wolf","SoSe26"
"65","BA-BUS-M06-F01","Internes Rechnungswesen 4","Frederik Kupitz","SoSe26"
"66","BA-BUS-M06-F01","Internes Rechnungswesen 5","Prof. Dr. Axel Zernack","SoSe26"
"67","BA-BUS-M06-F01","Internes Rechnungswesen 6","Kenan Arkan","SoSe26"
"68","BA-BUS-M06-F01","Internes Rechnungswesen 7","Kenan Arkan","SoSe26"
"69","BA-BUS-M06-F01","Internes Rechnungswesen 8 Blended","Prof. Dr. B. Peter Utzig","SoSe26"
"70","BA-BUS-M06-F01","Internes Rechnungswesen 9 - Kurs für Wiederholer","Prof. Dr. Ulf Diefenbach","SoSe26"
"71","BUS-M06-F01","Grundlagen des internen Rechnungswesens/Controllings 1","Prof. Dr. Ulf Diefenbach","SoSe26"
"72","BUS-M06-F01","Grundlagen des internen Rechnungswesens/Controllings 2","Thomas Neumann","SoSe26"
"73","BUS-M06-F01","Grundlagen des internen Rechnungswesens/Controllings 3","Matthias Schubert","SoSe26"
"74","BUS-M06-F01","Grundlagen des internen Rechnungswesens/Controllings 4 Blended","Prof. Dr. B. Peter Utzig","SoSe26"
"75","BUS-M06-F01","Grundlagen des internen Rechnungswesens/Controllings 5 Abend","Anne Schlachter","SoSe26"
"76","BUS-M06-F01","Grundlagen des internen Rechnungswesens/Controllings 6 - Kurs für Wiederholer","Prof. Dr. Ulf Diefenbach","SoSe26"
"77","BA-BUS-M07-F01","Unternehmensbesteuerung 1","Mirco Schoening","SoSe26"
"78","BA-BUS-M07-F01","Unternehmensbesteuerung 2","Prof. Dr. phil. Achim Grawert","SoSe26"
"79","BA-BUS-M07-F01","Unternehmensbesteuerung 3","Daniela Wiesner","SoSe26"
"80","BA-BUS-M07-F01","Unternehmensbesteuerung 4","Dr. jur. Daniel Rüscher","SoSe26"
"81","BUS-M07-F01","Grundlagen der Unternehmensbesteuerung 1","Dr. Johannes Martens","SoSe26"
"82","BUS-M07-F01","Grundlagen der Unternehmensbesteuerung 2","Peter Zeitschel","SoSe26"
"83","BUS-M07-F01","Grundlagen der Unternehmensbesteuerung 3 Blended","Daniela Wiesner","SoSe26"
"84","BUS-M07-F01","Grundlagen der Unternehmensbesteuerung 4 Abend","Peter Zeitschel","SoSe26"
"85","BA-BUS-M08-F01","Instrumente des Controllings 1","Prof. Dr. Ulf Diefenbach","SoSe26"
"86","BA-BUS-M08-F01","Instrumente des Controllings 2","Andre Eggert","SoSe26"
"87","BA-BUS-M08-F01","Instrumente des Controllings 3","Prof. Dr. Axel Zernack","SoSe26"
"88","BA-BUS-M08-F01","Instrumente des Controllings 4","Mario Karp","SoSe26"
"89","BA-BUS-M08-F01","Instrumente des Controllings 5","Jörg Leu","SoSe26"
"90","BA-BUS-M08-F01","Instrumente des Controllings 6","Peter Merz","SoSe26"
"91","BA-BUS-M08-F01","Management Accounting and Controlling 7","Prof. Dr. Michael Faustino Bauer","SoSe26"
"92","BUS-M08-F01","Instrumente des Controllings 1","Prof. Dr. Ulf Diefenbach","SoSe26"
"93","BUS-M08-F01","Instrumente des Controllings 2 Blended","Prof. Dr. Solveig Reißig-Thust","SoSe26"
"94","BUS-M08-F01","Instrumente des Controllings 3 Abend","Dr. Christian Schneider","SoSe26"
"95","BA-BUS-M09-F01","Strategisches Management 1","Dr. Jessica Di Bella","SoSe26"
"96","BA-BUS-M09-F01","Strategisches Management 2","Dr. Khalil Dindarian","SoSe26"
"97","BA-BUS-M09-F01","Strategisches Management 3","Dr. Marco de Queiroz Gama","SoSe26"
"98","BA-BUS-M09-F01","Strategisches Management 4","Dr. Khalil Dindarian","SoSe26"
"99","BA-BUS-M09-F01","Strategisches Management 5","Dr. Manuela E. Nork-Schürger","SoSe26"
"100","BA-BUS-M09-F01","Strategic Management 6","Prof. Dr. Caroline V. Rudzinska","SoSe26"
"101","BA-BUS-M09-F01","Strategic Management 7","Ertan Gönülal","SoSe26"
"102","BUS-M09-F01","Strategisches Management 1","Dr. Marco de Queiroz Gama / Ulrich Stirn","SoSe26"
"103","BUS-M09-F01","Strategisches Management 2","Prof. Dr. Jochen Breinlinger-O'Reilly / Jörg Nielandt","SoSe26"
"104","BUS-M09-F01","Strategisches Management 3 Blended","Dr. Sebastian Block / Dr. Wolfgang Marfels","SoSe26"
"105","BUS-M09-F01","Strategic Management 4","Dr. Giorgi Shuradze","SoSe26"
"106","BA-BUS-M10-F01","Operations Management 1","Prof. Dr. Marc Rothländer","SoSe26"
"107","BA-BUS-M10-F01","Operations Management 2","Harald Pflughaupt","SoSe26"
"108","BA-BUS-M10-F01","Operations Management 3 (Englisch)","John C. Davis","SoSe26"
"109","BA-BUS-M10-F01","Operations Management 4 (Englisch)","Martin Bodo Pruy","SoSe26"
"110","BUS-M10-F01","Operations Management 1","Thomas Seidl","SoSe26"
"111","BUS-M10-F01","Operations Management 2","Prof. Dr. Eberhard Schmid","SoSe26"
"112","BUS-M10-F01","Operations Management 3 Blended","Prof. Dr. Christoph Manuel Meyer","SoSe26"
"113","BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 1","Prof. Dr. Martina Eberl / Robert Dabitz","SoSe26"
"114","BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 2","Prof. Dr. rer. Harald Rüggeberg / Michael Siegert","SoSe26"
"115","BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 3","Prof. Dr. rer. Christian Noss / Prof. Dr. Katrin Böttcher","SoSe26"
"116","BUS-M11-F01","Unternehmenssimulation und Teamentwicklung 4","Prof. Dr. B. Peter Utzig / Prof. Dr. Frank Witte","SoSe26"
