modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
BA-BUS-M01-F01,Einführung in die Betriebswirtschaftslehre ,0,,Kombinierte Prüfung,seminaristischer Unterricht
BA-BUS-M01-F02,Projektmanagement ,2,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-BUS-M01-F03,Wissenschaftliches Arbeiten ,2,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-BUS-M02-F01,Personal und Organisation ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BUS-M02-F01,Personal und Organisation ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-BUS-M03-F01,Investition und Finanzierung ,5,,Klausur,seminaristischer Unterricht
BUS-M03-F01,Investition und Finanzierung ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M04-F01,Marketing ,5,,Klausur,seminaristischer Unterricht
BUS-M04-F01,Marketing ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M05-F01,Externes Rechnungswesen ,5,,Klausur,seminaristischer Unterricht
BUS-M05-F01,Grundlagen des externen Rechnungswesens ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M06-F01,Internes Rechnungswesen ,5,,Klausur,seminaristischer Unterricht
BUS-M06-F01,Grundlagen des internen Rechnungswesens/Controllings ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M07-F01,Unternehmensbesteuerung ,5,,Klausur,seminaristischer Unterricht
BUS-M07-F01,Grundlagen der Unternehmensbesteuerung ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M08-F01,Instrumente des Controllings ,5,,Klausur,seminaristischer Unterricht
BUS-M08-F01,Instrumente des Controllings ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M09-F01,Strategisches Management ,5,,Mündliche Prüfung (P),seminaristischer Unterricht
BUS-M09-F01,Strategisches Management ,5,,Mündliche Prüfung (P),seminaristischer Unterricht
BA-BUS-M10-F01,Operations Management ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BUS-M10-F01,Operations Management ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BUS-M11-F01,Unternehmenssimulation und Teamentwicklung ,5,,Leistungstest (undifferenziert),Praktische Übung
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar ,5,,Hausarbeit,seminaristischer Unterricht
BUS-M19-F01,Interdisziplinäres Themenfeld ,10,,Kombinierte Prüfung,seminaristischer Unterricht
BA-BUS-M20-F01,Mikroökonomie ,5,,Klausur,seminaristischer Unterricht
BUS-M20-F01,Mikroökonomie: Allokation und Verteilung ,5,,Klausur,seminaristischer Unterricht
